length,family,RNAUnet16_precision,RNAUnet16_recall,RNAUnet16_f1,RNAUnet16_precision_shift,RNAUnet16_recall_shift,RNAUnet16_f1_shift
71,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
71,tRNA,0.9750000238418579,1.0,0.9873417615890503,0.9750000238418579,1.0,0.9873417615890503
71,tRNA,0.9772727489471436,1.0,0.9885057806968689,0.9772727489471436,1.0,0.9885057806968689
71,tRNA,0.9772727489471436,1.0,0.9885057806968689,0.9772727489471436,1.0,0.9885057806968689
71,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
71,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
71,tRNA,0.970588207244873,1.0,0.9850746393203735,0.970588207244873,1.0,0.9850746393203735
71,tRNA,0.9750000238418579,1.0,0.9873417615890503,0.9750000238418579,1.0,0.9873417615890503
71,tRNA,0.9750000238418579,1.0,0.9873417615890503,0.9750000238418579,1.0,0.9873417615890503
71,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
71,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
71,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
71,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
71,tRNA,0.9722222089767456,1.0,0.98591548204422,0.9722222089767456,1.0,0.98591548204422
71,tRNA,0.9772727489471436,1.0,0.9885057806968689,0.9772727489471436,1.0,0.9885057806968689
71,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
71,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
71,tRNA,0.9772727489471436,1.0,0.9885057806968689,0.9772727489471436,1.0,0.9885057806968689
71,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
71,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
71,tRNA,0.9736841917037964,1.0,0.9866666793823242,0.9736841917037964,1.0,0.9866666793823242
71,tRNA,0.9772727489471436,1.0,0.9885057806968689,0.9772727489471436,1.0,0.9885057806968689
71,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
71,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.9750000238418579,1.0,0.9873417615890503,0.9750000238418579,1.0,0.9873417615890503
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,1.0,1.0,1.0,1.0,1.0,1.0
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.9736841917037964,1.0,0.9866666793823242,0.9736841917037964,1.0,0.9866666793823242
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,1.0,1.0,1.0,1.0,1.0,1.0
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.9750000238418579,1.0,0.9873417615890503,0.9750000238418579,1.0,0.9873417615890503
72,tRNA,1.0,1.0,1.0,1.0,1.0,1.0
72,tRNA,0.9750000238418579,1.0,0.9873417615890503,0.9750000238418579,1.0,0.9873417615890503
72,tRNA,1.0,1.0,1.0,1.0,1.0,1.0
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.9750000238418579,1.0,0.9873417615890503,0.9750000238418579,1.0,0.9873417615890503
72,tRNA,0.9750000238418579,1.0,0.9873417615890503,0.9750000238418579,1.0,0.9873417615890503
72,tRNA,0.9750000238418579,1.0,0.9873417615890503,0.9750000238418579,1.0,0.9873417615890503
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.9750000238418579,1.0,0.9873417615890503,0.9750000238418579,1.0,0.9873417615890503
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.9750000238418579,1.0,0.9873417615890503,0.9750000238418579,1.0,0.9873417615890503
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.9750000238418579,1.0,0.9873417615890503,0.9750000238418579,1.0,0.9873417615890503
72,tRNA,0.9750000238418579,1.0,0.9873417615890503,0.9750000238418579,1.0,0.9873417615890503
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.9736841917037964,1.0,0.9866666793823242,0.9736841917037964,1.0,0.9866666793823242
72,tRNA,0.9750000238418579,1.0,0.9873417615890503,0.9750000238418579,1.0,0.9873417615890503
72,tRNA,0.9750000238418579,1.0,0.9873417615890503,0.9750000238418579,1.0,0.9873417615890503
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.9772727489471436,1.0,0.9885057806968689,0.9772727489471436,1.0,0.9885057806968689
72,tRNA,0.9736841917037964,1.0,0.9866666793823242,0.9736841917037964,1.0,0.9866666793823242
72,tRNA,0.9750000238418579,1.0,0.9873417615890503,0.9750000238418579,1.0,0.9873417615890503
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.8157894611358643,0.837837815284729,0.8266666531562805,0.9736841917037964,1.0,0.9866666793823242
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.9736841917037964,1.0,0.9866666793823242,0.9736841917037964,1.0,0.9866666793823242
72,tRNA,0.9750000238418579,1.0,0.9873417615890503,0.9750000238418579,1.0,0.9873417615890503
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.9750000238418579,1.0,0.9873417615890503,0.9750000238418579,1.0,0.9873417615890503
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.9750000238418579,1.0,0.9873417615890503,0.9750000238418579,1.0,0.9873417615890503
72,tRNA,0.9750000238418579,1.0,0.9873417615890503,0.9750000238418579,1.0,0.9873417615890503
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.9750000238418579,1.0,0.9873417615890503,0.9750000238418579,1.0,0.9873417615890503
72,tRNA,0.9750000238418579,1.0,0.9873417615890503,0.9750000238418579,1.0,0.9873417615890503
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.9750000238418579,1.0,0.9873417615890503,0.9750000238418579,1.0,0.9873417615890503
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.9750000238418579,1.0,0.9873417615890503,0.9750000238418579,1.0,0.9873417615890503
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.9750000238418579,1.0,0.9873417615890503,0.9750000238418579,1.0,0.9873417615890503
72,tRNA,0.9772727489471436,1.0,0.9885057806968689,0.9772727489471436,1.0,0.9885057806968689
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.9750000238418579,1.0,0.9873417615890503,0.9750000238418579,1.0,0.9873417615890503
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.9750000238418579,1.0,0.9873417615890503,0.9750000238418579,1.0,0.9873417615890503
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.9722222089767456,1.0,0.98591548204422,0.9722222089767456,1.0,0.98591548204422
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.9772727489471436,1.0,0.9885057806968689,0.9772727489471436,1.0,0.9885057806968689
72,tRNA,0.9750000238418579,1.0,0.9873417615890503,0.9750000238418579,1.0,0.9873417615890503
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
72,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.9750000238418579,1.0,0.9873417615890503,0.9750000238418579,1.0,0.9873417615890503
73,tRNA,0.9736841917037964,1.0,0.9866666793823242,0.9736841917037964,1.0,0.9866666793823242
73,tRNA,0.9750000238418579,1.0,0.9873417615890503,0.9750000238418579,1.0,0.9873417615890503
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.9750000238418579,1.0,0.9873417615890503,0.9750000238418579,1.0,0.9873417615890503
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.9736841917037964,1.0,0.9866666793823242,0.9736841917037964,1.0,0.9866666793823242
73,tRNA,0.9750000238418579,1.0,0.9873417615890503,0.9750000238418579,1.0,0.9873417615890503
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.9750000238418579,1.0,0.9873417615890503,0.9750000238418579,1.0,0.9873417615890503
73,tRNA,0.9772727489471436,1.0,0.9885057806968689,0.9772727489471436,1.0,0.9885057806968689
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.9750000238418579,1.0,0.9873417615890503,0.9750000238418579,1.0,0.9873417615890503
73,tRNA,0.9750000238418579,1.0,0.9873417615890503,0.9750000238418579,1.0,0.9873417615890503
73,tRNA,0.9750000238418579,1.0,0.9873417615890503,0.9750000238418579,1.0,0.9873417615890503
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.9750000238418579,1.0,0.9873417615890503,0.9750000238418579,1.0,0.9873417615890503
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.9772727489471436,1.0,0.9885057806968689,0.9772727489471436,1.0,0.9885057806968689
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.9750000238418579,1.0,0.9873417615890503,0.9750000238418579,1.0,0.9873417615890503
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,1.0,1.0,1.0,1.0,1.0,1.0
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,1.0,1.0,1.0,1.0,1.0,1.0
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.9750000238418579,1.0,0.9873417615890503,0.9750000238418579,1.0,0.9873417615890503
73,tRNA,0.9750000238418579,1.0,0.9873417615890503,0.9750000238418579,1.0,0.9873417615890503
73,tRNA,0.9750000238418579,1.0,0.9873417615890503,0.9750000238418579,1.0,0.9873417615890503
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.9750000238418579,1.0,0.9873417615890503,0.9750000238418579,1.0,0.9873417615890503
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.9736841917037964,1.0,0.9866666793823242,0.9736841917037964,1.0,0.9866666793823242
73,tRNA,0.9750000238418579,1.0,0.9873417615890503,0.9750000238418579,1.0,0.9873417615890503
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.9772727489471436,1.0,0.9885057806968689,0.9772727489471436,1.0,0.9885057806968689
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.9772727489471436,1.0,0.9885057806968689,0.9772727489471436,1.0,0.9885057806968689
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.9750000238418579,1.0,0.9873417615890503,0.9750000238418579,1.0,0.9873417615890503
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.9750000238418579,1.0,0.9873417615890503,0.9750000238418579,1.0,0.9873417615890503
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.9750000238418579,1.0,0.9873417615890503,0.9750000238418579,1.0,0.9873417615890503
73,tRNA,1.0,1.0,1.0,1.0,1.0,1.0
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.9750000238418579,1.0,0.9873417615890503,0.9750000238418579,1.0,0.9873417615890503
73,tRNA,0.9750000238418579,1.0,0.9873417615890503,0.9750000238418579,1.0,0.9873417615890503
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.9750000238418579,1.0,0.9873417615890503,0.9750000238418579,1.0,0.9873417615890503
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.9736841917037964,1.0,0.9866666793823242,0.9736841917037964,1.0,0.9866666793823242
73,tRNA,0.9750000238418579,1.0,0.9873417615890503,0.9750000238418579,1.0,0.9873417615890503
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.9750000238418579,1.0,0.9873417615890503,0.9750000238418579,1.0,0.9873417615890503
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.9772727489471436,1.0,0.9885057806968689,0.9772727489471436,1.0,0.9885057806968689
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.9772727489471436,1.0,0.9885057806968689,0.9772727489471436,1.0,0.9885057806968689
73,tRNA,0.9772727489471436,1.0,0.9885057806968689,0.9772727489471436,1.0,0.9885057806968689
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.9772727489471436,1.0,0.9885057806968689,0.9772727489471436,1.0,0.9885057806968689
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,1.0,1.0,1.0,1.0,1.0,1.0
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
73,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
